guild_master,member29,member20,member3,member5,member28,member27,member26,member2,member15,member17,member9,member7,member6,member21,member8,member22,member18,member25,member12,description,member24,member30,member19,guild_name,guild_id,member11,member13,member16,member23,member1,member14,member10,member4
1058,1279,0,1060,1076,0,0,0,1059,1211,0,1120,1118,1078,0,1119,0,0,0,1806,佩可莉姆为了进入特别的餐饮店而组建的公会。主要目的是边走边吃。,0,1272,0,美食殿堂,1,1805,1155,1253,0,1058,1210,1804,1075
1001,0,0,1003,1088,0,0,0,1002,1287,0,1803,1801,1089,0,1802,0,0,0,1224,由日和莉担任公会会长，以帮助他人为中心进行活动的公会。其真正的目的，是3个有着共同梦想的人能够「登上索尔之塔的塔顶」。,0,1288,0,破晓之星,2,1156,1226,1289,0,1001,1225,1140,1087
1068,0,0,1011,1129,0,0,0,1049,0,0,1200,1193,1171,0,1212,0,0,0,0,由迷之人物·菈比莉斯塔所组建，探究世界之谜的公会。经营着可丽饼店，表面上是一个普通的公会。也就是所谓的秘密结社。,0,0,0,拉比林斯,3,1337,0,0,0,1068,0,1811,1091
1029,0,0,1054,1084,0,0,0,1042,0,0,1174,1172,1139,0,1173,0,0,0,1344,由曾经是单人偶像的望所组建，通过唱歌跳舞（与日常生活中的悲伤心情）作战的偶像公会。主要活动内容是举办演唱会。,0,0,0,慈乐之音,4,1322,0,0,0,1029,0,1248,1116
1020,0,0,1036,1112,0,0,0,1004,0,0,1228,1808,1111,0,1229,0,0,0,0,由3个好朋友组成的非认证公会。目的是借着公会的名义尽情玩耍。,0,0,0,小小甜心,5,1307,0,0,0,1020,0,1227,1113
1015,0,0,1040,1135,0,0,0,1012,0,0,1221,1167,1134,0,1807,0,0,0,1346,常年管理、保护精灵族的公会。管理只有精灵之森才能采集到的药草，同时也担任着森林的守卫者。,0,0,0,森林守卫,6,1284,0,0,0,1015,0,1246,1107
1044,0,0,1006,1007,0,0,0,1022,1220,0,1241,1082,1081,0,1117,0,0,0,1137,伊莉亚与魔族少女们组建的公会。公会名与伊莉亚过去率领的和众神长期交战的魔族最强军队的名字一样。,0,1271,0,恶魔伪王国军,7,1199,1138,1262,0,1044,1209,1240,1031
1047,0,0,1037,1242,0,0,0,1071,0,0,1143,1136,1115,0,1141,0,0,0,1239,兰德索尔的国军，目的是守护「王宫」和王族，以及达成敕命。作为警察组织保护城市治安时，能力也可圈可点。,0,0,0,王宫骑士团（NIGHTMARE）,8,1238,1339,0,0,1047,0,1236,1005
1028,0,0,1023,1103,0,0,0,1025,1308,0,1086,1145,1077,0,1085,0,0,0,1809,既是孤儿院，也做各种买卖。它是咲恋认为王宫警卫的工作没有价值，转而为了帮助人们而建立起来的公会。,0,0,0,咲恋救济院,9,1213,1232,1335,0,1028,1275,1121,1021
1010,0,0,1014,1106,0,0,0,1043,1298,0,1122,1157,1104,0,1105,0,0,0,1177,为了从魔物手中保护【动物苑】的伙伴而组建的武斗派公会，同时也调查和解决「暗影」等异常现象，和【王宫骑士团】水火不容。,0,0,0,自卫团,10,1159,1231,1310,0,1010,1285,1160,1017
1033,0,0,1038,1123,0,0,0,1052,0,0,1807,1128,1127,0,1158,0,0,0,1254,位于山上的牧场公会。其活动内容是饲养牧场的牛马等牲畜，同时也是兽人们度假郊游的场所、病人的疗养地。,0,0,0,伊丽莎白牧场,11,1235,0,0,0,1033,0,1192,1026
1032,0,0,1034,1267,0,0,0,1048,1251,0,1144,1268,1080,0,1079,0,0,0,1169,掌握着庞大的资金，在各行各业进行融资和收购的公会。真实目的是惩罚那些赚取不义之财的商人。,0,0,0,墨丘利财团,12,1168,1222,0,0,1032,1809,1146,1046
1056,0,0,1027,1009,0,0,0,1051,1237,0,1133,1131,1090,0,1132,0,0,0,1208,基于某个目的组建而成、危险的委托也照样接受的万事屋公会。几乎所有的成员都拥有异名，据说是兰德索尔中最危险的公会。,0,1299,0,暮光流星群,13,1175,1247,1276,0,1056,1219,1170,1013
1018,0,0,1016,1100,0,0,0,1050,0,0,1214,1179,1101,0,1190,0,0,0,0,兰德索尔的学校之一，是公会管理协会管理的公立教育机关。因为是公共学校，上学的学生年龄、种族、学习能力都参差不齐。,0,0,0,月光学院,14,1329,0,0,0,1018,0,1273,1083
1053,0,0,1030,1055,0,0,0,1008,1263,0,1142,1096,1095,0,1130,0,0,0,1191,由莫妮卡担任会长的公会。总是因为成员们犯迷糊而招致各种危机，又由他们亲自华丽地解决问题。,0,1332,0,纯白之翼 兰德索尔分部,15,1178,1215,1270,0,1053,1252,1176,1045
1110,0,0,1109,1163,0,0,0,1108,0,0,1295,1293,1164,0,1294,0,0,0,0,以通过奖学金审查为目的，为了展示审查通过的条件「亲和性高的团体」而组成的新型社团类公会。,0,0,0,圣特蕾莎女子学院（好朋友社）,16,0,0,0,0,1110,0,0,1162
1067,0,0,1066,1166,0,0,0,1065,0,0,1283,1245,1216,0,1249,0,0,0,0,为了发现和保护珍稀种族龙族而组成的公会。其成员都在各地进行探索，但黑色传闻不断，声称他们背后与暗黑势力勾结。,0,0,0,龙族据点,17,0,0,0,0,1067,0,1318,1165
1180,0,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,里士满商工会,18,0,0,0,0,1180,0,0,0
1923,0,0,1269,1343,0,0,0,1233,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,愤怒军团,19,0,0,0,0,1181,0,0,1311
1258,0,0,1261,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,幻变少女,20,0,0,0,0,1258,0,0,1316
1300,0,0,1302,0,0,0,0,1301,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,班迪姐妹,21,0,0,0,0,1300,0,0,0
1323,0,0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,为完成禁断秘药而奋斗的炼金术公会。由脑洞大开的天才炼金术师露易丝玛丽、钟爱锹形虫的美女剑士彩羽，以及懒惰的儿童店长苑组成的三人组。,0,0,0,阿尔凯斯炼金堂,22,0,0,0,0,1323,0,0,0
1124,0,0,1126,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,New Generations,100,0,0,0,0,1124,0,0,0
